mobimet_ID, temp_cal_a0, temp_cal_a1, hum_cal_a0, hum_cal_a1, bgt_cal_a0, bgt_cal_a1,language,wind,HTU_RH_a0,HTU_RH_a1,HTU_Ta_a0,HTU_Ta_a1,calibration_date,
44,-0.567907469,1.023340686,0.65537049,0.960214716,-0.097623,1.008991951,g,n,0,1,0,1,2020,
45,-0.399180584892885,1.02000473197322,-0.305717635410713,0.972080687081069,0.033552226,1.003734237,g,n,0,1,0,1,2023,
46,-0.451149458,1.023861626,0.899900412,0.938788124,0.094599401,1.003037971,g,n,2.614430,0.9238891,-0.05267764 ,0.9989485,2023,
47,-0.116561342086529,1.01942292393039,-0.993249854815659,0.957657815919145,0.040207857,1.004717601,g,n,0,1,0,1,2023,
48,-0.302232066189188,1.01979322056339,-1.61083488674837,0.971864339507542,0.035988822,1.006270185,g,n,0,1,0,1,2023,
49,-0.327858658169251,1.02489252598772,-0.353829619452751,0.943239404756626,0.027879288,1.005118246,g,n,0,1,0,1,2023,
50,-0.407399977239657,1.01861974166912,-5.51725741670828,0.926789130247474,-0.128456801,1.008389512,g,n,0,1,0,1,2023,
51,-0.322336268088364,1.01868231013224,0.064584617888417,0.926050770607558,0.038565604,1.002673735,g,n,0,1,0,1,2023,
52,-0.339960836301036,1.02150525892924,0.0723823693809216,0.951388987018357,-0.002630717,1.004550502,e,n,0,1,0,1,2023,
53,-0.195231362536422,1.01971870093429,-12.5134773797874,0.975066520020639,-0.093467862,1.009896259,g,n,4.8477375321107,0.830262719169917,-0.425614434571078,0.995498117154853,2023,
54,-0.249339757264196,1.01930800124548,-2.19109374405044,0.85697525574231,-0.061000955,1.005403109,g,y,0.46690600777473,0.984028142206711,-0.0335003767532259,0.999513530660148,2023,
55,-0.335754329095067,1.02335961441911,0.388632076276345,0.936654894181734,-0.115065616,1.004423232,g,n,0,1,0,1,2023,
56,-0.371094908231316,1.02255188192301,-1.40497663599452,0.887653195493657,-0.046134943,1.006960547,g,n,0,1,0,1,2023,
57,-0.389782624870962,1.0231454965569,-0.936288087391346,0.962025371494073,-0.138803278,1.008965349,g,n,0,1,0,1,2023,
58,-0.36967593979186,1.02082170384173,-4.67995057774867,0.928489068920324,0.046864096,1.004306367,g,n,2.16856578771512,0.929324944272736,-0.241755632949455,1.00030297787913,2023,
59,-0.378388151042156,1.02012424963423,-1.67381593524899,0.987550241853002,-0.01592344,1.004294205,g,n,0,1,0,1,2023,
60,-0.306442706834277,1.02113388996822,-0.585378990886788,0.864793331424565,-0.116628269,1.00625515,g,y,0,1,0,1,2023,
61,-0.358621255773114,1.0212391631365,-2.78996762165964,0.968491967187543,0.082938494,1.000814149,e,n,2.31187829230547,1.02365600187281,-0.461822640082039,0.998873379460437,2023,
62,-0.0871593540945556,1.02140478009267,-0.891890761446244,0.95293757651976,0.01357069,1.002959879,e,y,3.91766637551884,0.997711734300923,-0.556908138778428,0.997391195705668,2023,
63,-0.305218907898012,1.02153616335603,-5.65970964470498,0.910847249063651,0.064900549,1.00409306,g,n,1.17503771150126,0.962631547309112,-0.0103346270877198,0.998417686445113,2023,
64,-0.611628391,1.025395256,0.6897168,0.93581352,-0.062855193,1.006453804,g,n,0,1,0,1,2020,
65,-0.252343744682557,1.01894194648053,1.20171948751062,0.876480461955336,0.032178955,1.003828004,g,y,2.44890087990709,0.991044521304973,-0.120488547237267,0.996421747376756,2023,
66,-0.0877512986642226,1.01805284197233,-7.93923667097243,0.916253177024173,0.007037211,1.003758213,g,n,2.89055206747083,0.880369387358638,-0.335776085223507,0.99562942609749,2023,
67,-0.314299763,1.024468233,0.666990479,0.943724669,-0.056460199,1.002319957,g,n,0,1,0,1,2020,
68,-0.542682853,1.023561991,0.593657817,0.940976462,-0.092637529,1.006697478,g,n,0,1,0,1,2020,
69,-0.546505977,1.02463266,0.910579973,0.929420511,-0.034468842,1.004299384,g,n,0,1,0,1,2020,
70,-0.39061187067184,1.02219539494041,-1.70055370448485,0.827822064256551,-0.056179794,1.005447919,g,n,0,1,0,1,2023,
71,-0.206466561255148,1.02081019299491,0.926620586046383,0.896883256225044,-0.160276596,1.005764207,g,n,0,1,0,1,2023,
72,-0.31458839471286,1.02325766949366,1.63230236016511,0.79813041681212,-0.08849494,1.006767294,g,n,0,1,0,1,2023,
73,-0.268698547409096,1.02099177107713,-0.317966658590596,0.927221115697913,0.038926904,1.00327492,g,n,0,1,0,1,2023,
74,-0.426973822286355,1.02319628239736,0.111268626473329,0.866266979939308,-0.040295465,1.004459773,g,n,0,1,0,1,2023,
75,-0.341287256989801,1.02159148155187,0.65754935483037,0.924718499504946,0.007375017,1.00325302,g,n,0,1,0,1,2023,
76,-0.10695882848947,1.02153748960466,1.26440119991014,0.899044557551609,-0.000348468,1.005693079,g,n,0,1,0,1,2023,
77,-0.166453562001714,1.02363125901995,1.55497151979144,0.918305955138482,-0.090015997,1.00739186,g,n,0,1,0,1,2023,
78,-0.187137723762679,1.02253178858137,0.959724913744259,0.886961425042098,0.052663485,1.002323531,g,n,0,1,0,1,2023,
79,-0.242014457190862,1.02269433854751,1.55599206170623,0.923950052609611,0.093491085,1.001153632,g,n,0,1,0,1,2023,
80,-0.0434861675175582,1.02152267018031,1.32322363641775,0.906951839602498,0.012589044,1.00325511,g,n,0,1,0,1,2023,
81,-0.427935686991547,1.01916865103584,0.25043674880345,0.960652186105262,-0.112865432,1.007437322,g,n,0,1,0,1,2023,
82,-0.0101389683360517,1.02160891259115,2.86699278628859,0.863534874312719,0.05374932,1.002384359,g,n,0,1,0,1,2023,
83,0.0539257384411554,1.02124998869203,2.63693769260084,0.895587579487646,-0.027499616,1.004485761,g,n,0,1,0,1,2023,
84,-0.34379779732496,1.02244770397563,-5.31518244491308,0.934079725946114,0.002692509,1.003858297,g,n,2.77817799196007,0.845806345644692,0.275957580573464,0.997994394510096,2023,
85,-0.211661458156591,1.01971621059292,4.03311134746307,0.858495721531327,-0.023925839,1.005755761,g,n,0,1,0,1,2023,
86,-0.382694339232375,1.02292762467035,1.0186763909535,0.881401222853858,0.024019741,1.005601304,g,n,0,1,0,1,2023,
87,-0.0501314903216674,1.02504447658671,2.69588983930937,0.887972277547797,0.035135114,1.002411497,g,n,0,1,0,1,2023,
88,-0.296399004355023,1.02249876631472,4.27681277183593,0.900471573469908,0.126567437,1.000567968,g,n,0,1,0,1,2023,
89,-0.0837747485678185,1.02156889983794,1.68138943814321,0.942785856920902,0.006493631,1.00504073,g,n,0,1,0,1,2023,
90,-0.437740017373744,1.02044579099603,3.31222026044906,0.864322007959637,-0.075524217,1.006049881,g,n,0,1,0,1,2023,
91,-0.266308786638673,1.0182214296853,4.12027224657532,0.880676576465952,-0.076586097,1.004124037,g,n,0,1,0,1,2023,
92,-0.225378790490221,1.01995380020329,5.80765258833223,0.835553537740461,-0.001549912,1.001804514,g,n,0,1,0,1,2023,
93,-0.0693278492798516,1.01955112043759,-6.13137698954094,0.822873445029786,-0.089218615,1.006627854,g,n,0,1,0,1,2023,
94,0.069870886924976,1.01953700861435,6.1965720251946,0.831188082161774,-0.192922502,1.009477834,g,n,0,1,0,1,2023,
95,-0.240732138418707,1.01982520782226,3.96957318900368,0.808402985264339,-0.1645784,1.008023376,g,n,0,1,0,1,2023,
96,-0.544565078,1.022977345,0.480040664,0.935746584,-0.110763476,1.007354298,g,n,0,1,0,1,2020,
97,-0.389183495905214,1.02021699275271,-4.47040027343625,0.924799230134929,-0.104398458,1.006819614,g,n,1.63139178635687,0.855840303497802,-0.0188942651578119,0.998654880715902,2023,
98,-0.242064572903702,1.02156959156256,-5.73527020215213,0.940252185739978,0.059340992,1.002042842,g,n,4.51725349636309,0.872416675149768,-0.108729060402705,0.99924014166885,2023,
99,-0.274319013434508,1.02148485376336,0.880870664061149,0.93736956293396,-0.157094584,1.008284288,g,n,0,1,0,1,2023,
100,-0.342797035563631,1.02115045323579,-0.737245703193387,0.9575868825905,-0.169718707,1.0058388,g,n,0,1,0,1,2023,
101,-0.354792088017376,1.02037004727313,3.1702597375342,0.926318705279019,0.030580471,1.002703067,g,n,0,1,0,1,2023,
102,-0.44696349010979,1.02293314965986,1.73101451649797,0.96970101846859,-0.161644345,1.005974556,g,n,0,1,0,1,2023,
103,0.202428597068185,1.0181654787039,1.35210560420365,0.917115709155444,-0.154826437,1.008367027,g,n,0,1,0,1,2023,
